,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area,Longitude,Latitude
1,3,2,2,01/01/2018,2,01:30,3,30,4,1,1,0,1,-0.139737,51.524587
2,3,1,1,01/01/2018,2,00:50,6,30,4,1,1,0,1,0.046471,51.539651
3,3,2,1,01/01/2018,2,00:45,6,20,4,1,1,0,1,-0.102474,51.529746
4,2,2,1,01/01/2018,2,03:00,3,30,4,2,2,0,1,0.037828,51.530179
5,2,2,2,01/01/2018,2,02:20,6,30,4,1,2,0,1,0.065781,51.469258
6,3,2,4,01/01/2018,2,01:52,6,30,4,5,2,0,1,-0.17972,51.638879
7,2,2,1,01/01/2018,2,05:47,6,30,4,1,1,0,1,-0.199239,51.514545
8,3,3,1,01/01/2018,2,04:40,2,30,7,1,1,0,1,-0.032886,51.475091
9,3,2,1,01/01/2018,2,00:30,6,30,4,1,1,0,1,-0.311872,51.56325
10,2,2,1,01/01/2018,2,03:00,6,30,4,1,1,0,1,-0.049395,51.513407
11,2,1,1,01/01/2018,2,06:06,6,20,4,1,1,0,1,-0.061002,51.531944
12,3,1,1,01/01/2018,2,05:23,6,20,4,1,1,0,1,-0.386484,51.472936
13,2,2,7,01/01/2018,2,05:30,6,30,4,9,2,0,1,-0.34816,51.581121
14,3,2,1,01/01/2018,2,03:05,6,30,4,4,2,0,1,-0.103057,51.491446
15,3,1,1,01/01/2018,2,06:54,6,20,1,1,1,0,1,-0.045798,51.425667
16,3,2,1,01/01/2018,2,07:00,6,30,7,9,1,0,1,-0.132562,51.463862
17,2,2,1,01/01/2018,2,10:45,6,30,1,1,1,0,1,-0.265255,51.518147
18,3,2,1,01/01/2018,2,10:35,6,30,1,1,1,0,1,-0.150803,51.450662
19,3,2,3,01/01/2018,2,12:45,6,20,1,1,1,0,1,-0.117711,51.520369
20,3,2,1,01/01/2018,2,14:38,3,30,1,1,1,0,1,-0.119818,51.500709
21,3,1,1,01/01/2018,2,16:31,6,20,1,1,1,0,1,-0.056863,51.547883
22,2,1,1,01/01/2018,2,16:25,6,20,4,1,1,0,1,-0.105644,51.592295
23,3,1,1,01/01/2018,2,14:11,6,30,1,1,1,0,1,-0.096095,51.478743
24,3,2,1,01/01/2018,2,15:20,2,30,1,1,1,0,1,-0.260037,51.492441
25,3,2,1,01/01/2018,2,17:18,3,20,4,1,1,0,1,-0.05278,51.552311
26,3,2,1,01/01/2018,2,07:10,3,40,1,1,2,0,1,-0.030642,51.543849
27,3,2,1,01/01/2018,2,20:55,6,30,4,1,1,0,2,-0.29087,51.476887
28,3,2,1,01/01/2018,2,20:35,6,20,4,1,1,0,1,-0.112793,51.461477
29,2,1,2,01/01/2018,2,20:36,1,30,4,1,2,0,1,-0.1356,51.62227
30,3,1,4,01/01/2018,2,22:10,1,30,4,4,1,0,1,-0.130002,51.385584
31,3,2,1,01/01/2018,2,22:05,3,40,4,4,1,0,1,-0.060368,51.645151
32,3,2,1,01/01/2018,2,23:50,6,20,4,1,1,0,1,-0.202345,51.545437
33,3,2,1,02/01/2018,3,03:08,2,30,4,1,1,0,1,-0.121049,51.530314
34,3,1,1,01/01/2018,2,02:49,6,30,4,1,2,0,1,-0.053911,51.485245
35,3,2,1,02/01/2018,3,03:51,6,30,4,1,1,0,1,0.006402,51.536836
36,2,1,1,02/01/2018,3,08:05,6,30,1,1,1,0,1,-0.010772,51.562938
37,2,2,1,02/01/2018,3,07:01,3,30,4,1,1,0,1,-0.068615,51.508779
38,3,2,1,02/01/2018,3,06:45,6,30,4,1,1,0,1,-0.419703,51.465835
39,2,2,1,02/01/2018,3,06:46,3,40,4,1,2,3,1,-0.222409,51.578296
40,3,2,1,02/01/2018,3,12:00,6,30,1,2,2,0,1,-0.31856,51.511009
41,3,2,1,02/01/2018,3,13:00,6,30,1,2,2,0,1,0.111677,51.571318
42,3,1,4,02/01/2018,3,10:55,1,30,1,2,2,0,1,-0.23136,51.570787
43,3,3,1,02/01/2018,3,13:15,3,50,1,2,2,0,1,-0.371257,51.540618
44,3,3,1,02/01/2018,3,14:04,6,30,1,1,2,3,1,-0.304546,51.438148
45,3,2,1,02/01/2018,3,16:20,6,30,4,1,2,0,1,-0.065515,51.602341
46,3,2,1,02/01/2018,3,14:03,6,30,1,1,1,0,1,-0.187116,51.362291
47,3,2,1,02/01/2018,3,17:45,1,20,4,2,2,0,1,-0.080353,51.54836
48,3,1,1,02/01/2018,3,15:28,6,20,1,1,2,0,1,-0.227435,51.512186
49,3,1,3,02/01/2018,3,17:07,3,50,4,9,2,0,1,-0.060681,51.614131
50,3,2,1,02/01/2018,3,19:45,6,20,4,2,2,0,1,-0.113885,51.462934
51,3,2,1,01/01/2018,2,18:41,6,30,4,2,2,0,1,-0.23139,51.37268
52,3,1,2,02/01/2018,3,19:00,6,20,4,8,2,0,1,-0.131611,51.44838
53,3,2,1,02/01/2018,3,20:10,6,20,4,2,2,0,1,-0.009355,51.496277
54,2,1,1,02/01/2018,3,20:00,3,30,4,2,2,0,2,-0.121739,51.492556
55,3,2,3,02/01/2018,3,19:00,6,30,4,2,2,0,1,-0.168934,51.648333
56,3,4,2,02/01/2018,3,20:11,6,20,4,2,2,0,1,-0.397677,51.535677
57,3,2,1,02/01/2018,3,16:27,1,30,4,1,2,0,1,-0.189536,51.38472
58,3,2,1,02/01/2018,3,21:10,6,30,4,2,2,0,1,0.084779,51.541674
59,3,2,1,02/01/2018,3,18:50,2,30,4,2,2,0,1,-0.155693,51.440038
60,2,1,1,02/01/2018,3,21:59,6,20,4,2,2,0,1,-0.075354,51.55745
61,2,3,1,03/01/2018,4,01:50,2,30,4,4,2,0,1,-0.117104,51.437176
62,3,1,1,01/01/2018,2,17:00,9,30,4,8,1,-1,1,-0.047094,51.65806
63,3,1,1,03/01/2018,4,07:20,6,20,4,1,1,2,1,-0.280633,51.500208
64,3,1,1,02/01/2018,3,12:55,7,30,1,2,2,0,1,-0.338986,51.5952
65,3,2,1,02/01/2018,3,14:18,6,30,1,1,1,0,1,-0.18117,51.399968
66,2,3,1,03/01/2018,4,09:01,1,30,1,4,1,0,1,-0.361289,51.565208
67,3,2,1,03/01/2018,4,08:20,6,30,1,4,1,0,1,0.012192,51.49483
68,3,2,1,01/01/2018,2,15:05,6,30,1,1,1,0,1,-0.074954,51.399351
69,3,1,1,03/01/2018,4,10:00,6,30,1,1,1,0,1,-0.419343,51.526259
70,3,1,1,03/01/2018,4,12:30,3,30,1,1,1,0,1,0.211049,51.599885
71,2,2,2,03/01/2018,4,12:38,3,20,1,4,1,0,1,-0.002833,51.612441
72,3,2,1,03/01/2018,4,13:00,6,30,1,1,1,0,2,0.128219,51.393859
73,3,2,1,03/01/2018,4,09:20,6,30,1,4,1,0,1,-0.230174,51.54559
74,3,2,1,03/01/2018,4,11:00,6,20,1,1,1,0,1,-0.109396,51.522753
75,3,1,1,03/01/2018,4,08:50,6,30,1,4,1,0,1,-0.248158,51.584258
76,3,2,1,03/01/2018,4,14:00,6,30,1,4,1,0,1,-0.031992,51.475796
77,3,2,1,03/01/2018,4,02:20,6,30,1,1,1,0,1,-0.209661,51.652918
78,3,1,1,02/01/2018,3,08:32,6,30,1,1,1,0,1,-0.115039,51.462862
79,3,2,1,03/01/2018,4,12:00,6,30,1,4,1,0,1,-0.043962,51.465295
80,3,2,1,03/01/2018,4,00:51,6,30,7,4,2,0,1,-0.079987,51.533066
81,3,2,1,03/01/2018,4,16:35,3,30,1,1,1,0,1,-0.128544,51.484661
82,3,1,2,03/01/2018,4,15:40,2,20,1,1,1,0,1,-0.360701,51.469161
83,3,1,1,03/01/2018,4,15:52,6,30,1,1,1,0,1,-0.206408,51.566812
84,3,1,1,03/01/2018,4,16:55,6,20,4,1,1,2,1,-0.076547,51.494971
85,3,2,1,03/01/2018,4,15:42,1,20,1,1,1,0,1,-0.055064,51.498753
86,3,2,1,03/01/2018,4,15:19,3,70,1,4,1,0,2,-0.159988,51.68722
87,3,3,1,03/01/2018,4,16:28,2,20,4,1,1,0,1,-0.009134,51.557514
88,3,1,2,03/01/2018,4,17:28,6,30,7,1,1,0,1,-0.18915,51.518166
89,2,1,1,03/01/2018,4,16:30,2,20,4,1,1,0,1,-0.090018,51.527655
90,3,1,1,03/01/2018,4,18:00,6,30,4,1,1,0,1,-0.063445,51.617055
91,3,2,1,02/01/2018,3,20:50,3,20,4,2,2,0,1,-0.07239,51.58321
92,3,1,1,03/01/2018,4,18:50,6,30,4,1,1,0,1,-0.256738,51.605248
93,3,1,2,02/01/2018,3,17:35,6,20,4,2,2,1,1,-0.06517,51.426798
94,3,2,1,03/01/2018,4,19:52,6,30,4,1,2,0,1,-0.225123,51.512331
95,3,2,1,03/01/2018,4,17:48,3,40,4,1,1,0,1,0.117516,51.532364
96,3,1,1,03/01/2018,4,20:00,3,30,4,1,1,0,1,-0.128934,51.432869
97,3,2,1,03/01/2018,4,20:50,6,20,4,1,1,0,1,-0.149411,51.435263
98,3,1,1,03/01/2018,4,15:15,3,20,1,1,1,0,1,-0.067637,51.456964
99,3,4,1,03/01/2018,4,20:10,3,40,4,1,1,0,1,-0.401546,51.515767
